coords,color
"40.368957,-111.981439",purple
"40.368943,-111.981411",purple
"40.368930,-111.981379",purple
"40.368918,-111.981345",purple
"40.368902,-111.981311",purple
"40.368883,-111.981279",purple
"40.368866,-111.981250",purple
"40.368850,-111.981231",purple
"40.368828,-111.981210",purple
,orange
"40.368802,-111.981181",orange
"40.368774,-111.981155",orange
"40.368744,-111.981129",orange
"40.368717,-111.981103",orange
"40.368691,-111.981077",orange
"40.368668,-111.981052",orange
"40.368653,-111.981032",orange
"40.368642,-111.981007",orange
,purple
"40.368632,-111.980978",purple
"40.368623,-111.980945",purple
"40.368616,-111.980915",purple
"40.368606,-111.980884",purple
"40.368597,-111.980849",purple
"40.368591,-111.980814",purple
"40.368582,-111.980783",purple
"40.368572,-111.980754",purple
"40.368565,-111.980726",purple
"40.368559,-111.980703",purple
"40.368551,-111.980668",purple
"40.368542,-111.980635",purple
"40.368533,-111.980603",purple
"40.368521,-111.980572",purple
"40.368509,-111.980543",purple
"40.368498,-111.980514",purple
"40.368488,-111.980482",purple
"40.368477,-111.980445",purple
"40.368465,-111.980409",purple
"40.368449,-111.980372",purple
"40.368440,-111.980336",purple
"40.368438,-111.980292",purple
"40.368429,-111.980254",purple
"40.368422,-111.980221",purple
"40.368416,-111.980188",purple
"40.368410,-111.980152",purple
"40.368401,-111.980115",purple
"40.368395,-111.980076",purple
"40.368395,-111.980039",purple
"40.368388,-111.979997",purple
"40.368384,-111.979961",purple
"40.368380,-111.979925",purple
"40.368382,-111.979894",purple
"40.368385,-111.979860",purple
"40.368387,-111.979824",purple
,green
"40.368392,-111.979792",green
"40.368399,-111.979758",green
"40.368407,-111.979728",green
"40.368417,-111.979698",green
"40.368423,-111.979667",green
,green
"40.368423,-111.979667",green
"40.368427,-111.979634",green
"40.368435,-111.979596",green
,green
"40.368440,-111.979559",green
"40.368446,-111.979522",green
"40.368450,-111.979488",green
"40.368453,-111.979455",green
"40.368451,-111.979414",green
"40.368452,-111.979377",green
"40.368453,-111.979343",green
"40.368453,-111.979313",green
"40.368452,-111.979284",green
,yellow
"40.368453,-111.979252",yellow
"40.368450,-111.979216",yellow
"40.368448,-111.979178",yellow
"40.368442,-111.979137",yellow
"40.368437,-111.979097",yellow
"40.368433,-111.979062",yellow
"40.368427,-111.979025",yellow
"40.368419,-111.978987",yellow
"40.368414,-111.978950",yellow
"40.368408,-111.978915",yellow
"40.368406,-111.978880",yellow
"40.368409,-111.978841",yellow
,green
"40.368408,-111.978805",green
"40.368410,-111.978771",green
"40.368408,-111.978738",green
"40.368404,-111.978705",green
"40.368404,-111.978670",green
"40.368403,-111.978638",green
"40.368405,-111.978604",green
"40.368406,-111.978566",green
"40.368406,-111.978529",green
"40.368409,-111.978500",green
"40.368413,-111.978470",green
,orange
"40.368419,-111.978443",orange
,purple
"40.368427,-111.978412",purple
,orange
"40.368436,-111.978375",orange
,purple
"40.368448,-111.978338",purple
"40.368460,-111.978305",purple
"40.368468,-111.978274",purple
"40.368476,-111.978245",purple
"40.368484,-111.978214",purple
"40.368489,-111.978181",purple
,orange
"40.368493,-111.978160",orange
"40.368500,-111.978131",orange
"40.368509,-111.978101",orange
"40.368516,-111.978068",orange
"40.368523,-111.978035",orange
"40.368533,-111.978003",orange
"40.368540,-111.977978",orange
"40.368548,-111.977942",orange
"40.368558,-111.977906",orange
"40.368568,-111.977873",orange
"40.368577,-111.977840",orange
"40.368586,-111.977811",orange
"40.368592,-111.977778",orange
"40.368596,-111.977739",orange
"40.368602,-111.977699",orange
,green
"40.368614,-111.977666",green
,orange
"40.368625,-111.977632",orange
"40.368634,-111.977599",orange
,purple
"40.368645,-111.977563",purple
,orange
"40.368654,-111.977523",orange
"40.368661,-111.977486",orange
"40.368667,-111.977449",orange
"40.368670,-111.977413",orange
,green
"40.368670,-111.977377",green
"40.368670,-111.977339",green
,yellow
"40.368667,-111.977301",yellow
"40.368666,-111.977266",yellow
"40.368665,-111.977228",yellow
"40.368661,-111.977190",yellow
"40.368656,-111.977153",yellow
"40.368652,-111.977115",yellow
,red
"40.368647,-111.977073",red
"40.368641,-111.977033",red
"40.368636,-111.976996",red
"40.368632,-111.976961",red
"40.368627,-111.976930",red
"40.368622,-111.976895",red
"40.368613,-111.976857",red
"40.368604,-111.976817",red
"40.368596,-111.976785",red
"40.368590,-111.976752",red
"40.368584,-111.976719",red
"40.368578,-111.976687",red
"40.368572,-111.976656",red
"40.368566,-111.976623",red
"40.368558,-111.976591",red
"40.368551,-111.976557",red
"40.368550,-111.976519",red
,yellow
"40.368561,-111.976486",yellow
,green
"40.368584,-111.976465",green
,orange
"40.368610,-111.976458",orange
,purple
"40.368640,-111.976456",purple
,green
"40.368671,-111.976455",green
"40.368699,-111.976451",green
"40.368722,-111.976445",green
"40.368748,-111.976435",green
"40.368774,-111.976425",green
,green
"40.368774,-111.976425",green
"40.368797,-111.976416",green
"40.368820,-111.976406",green
,green
"40.368842,-111.976399",green
"40.368865,-111.976389",green
"40.368886,-111.976375",green
"40.368903,-111.976358",green
"40.368929,-111.976344",green
"40.368956,-111.976334",green
"40.368986,-111.976323",green
"40.369012,-111.976310",green
"40.369034,-111.976301",green
"40.369059,-111.976285",green
"40.369086,-111.976271",green
"40.369115,-111.976260",green
"40.369141,-111.976247",green
"40.369165,-111.976238",green
"40.369191,-111.976229",green
"40.369219,-111.976219",green
"40.369247,-111.976206",green
"40.369275,-111.976193",green
"40.369303,-111.976178",green
"40.369331,-111.976164",green
"40.369355,-111.976158",green
"40.369380,-111.976154",green
,orange
"40.369401,-111.976146",orange
"40.369425,-111.976137",orange
"40.369446,-111.976128",orange
,green
"40.369470,-111.976119",green
"40.369495,-111.976105",green
"40.369519,-111.976088",green
"40.369541,-111.976064",green
,yellow
"40.369563,-111.976044",yellow
"40.369585,-111.976028",yellow
